Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-01-22,22,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,165554.80888251815,6257971.775759186
2006-01-22,22,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,47916.0,1811224.7999999998
2006-01-23,23,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,225045.90000000002,8506735.02
2006-01-23,23,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28591.92794126377,1080774.8761797703
2006-01-23,23,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,167828.90888251815,6343932.755759186
2006-01-23,23,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,48055.5,1816497.9
2006-01-24,24,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,233954.8,8843491.44
2006-01-24,24,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,North and East,53.6374,-112.018,east & north,intracanada,64843.0,28516.92794126377,1077939.8761797703
2006-01-24,24,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,Upstream of James River,51.9475,-114.74,southeast & east,intracanada,187479.0,166647.64888251814,6299281.127759186
2006-01-24,24,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,West Gate,49.6348,-114.588,west,intracanada,81013.0,49181.2,1859049.3599999996
2006-01-25,25,1,2006,NGTL GP Ltd. as general partner on behalf of NGTL Limited Partnership,NGTL System,East Gate,50.6608,-110.028,east & southeast,intracanada,220461.0,229759.5,8684909.1
